[29-Dec-2023 12:35:19 UTC] WordPress database error Table 'wp_actionscheduler_actions' already exists for query CREATE TABLE wp_actionscheduler_actions (
				        action_id bigint(20) unsigned NOT NULL auto_increment,
				        hook varchar(191) NOT NULL,
				        status varchar(20) NOT NULL,
				        scheduled_date_gmt datetime NULL default '0000-00-00 00:00:00',
				        scheduled_date_local datetime NULL default '0000-00-00 00:00:00',
				        args varchar(191),
				        schedule longtext,
				        group_id bigint(20) unsigned NOT NULL default '0',
				        attempts int(11) NOT NULL default '0',
				        last_attempt_gmt datetime NULL default '0000-00-00 00:00:00',
				        last_attempt_local datetime NULL default '0000-00-00 00:00:00',
				        claim_id bigint(20) unsigned NOT NULL default '0',
				        extended_args varchar(8000) DEFAULT NULL,
				        PRIMARY KEY  (action_id),
				        KEY hook (hook(191)),
				        KEY status (status),
				        KEY scheduled_date_gmt (scheduled_date_gmt),
				        KEY args (args(191)),
				        KEY group_id (group_id),
				        KEY last_attempt_gmt (last_attempt_gmt),
				        KEY `claim_id_status_scheduled_date_gmt` (`claim_id`, `status`, `scheduled_date_gmt`)
				        ) DEFAULT CHARACTER SET utf8mb4 COLLATE utf8mb4_unicode_520_ci made by do_action('wp_ajax_owp_ajax_required_plugins_activate'), WP_Hook->do_action, WP_Hook->apply_filters, OceanWP_Demos->ajax_required_plugins_activate, activate_plugin, plugin_sandbox_scrape, include_once('/plugins/wpforms-lite/wpforms.php'), wpforms, WPForms\WPForms::instance, WPForms\WPForms->includes, WPForms\WPForms->includes_magic, require_once('/plugins/wpforms-lite/vendor/woocommerce/action-scheduler/action-scheduler.php'), action_scheduler_initialize_3_dot_4_dot_0, ActionScheduler::init, ActionScheduler_HybridStore->init, ActionScheduler_DBStore->init, ActionScheduler_Abstract_Schema->register_tables, ActionScheduler_Abstract_Schema->update_table, dbDelta
[29-Dec-2023 12:35:19 UTC] WordPress database error Duplicate entry '6' for key 'PRIMARY' for query INSERT INTO `wp_actionscheduler_actions` (`action_id`, `hook`, `status`, `scheduled_date_gmt`, `scheduled_date_local`, `last_attempt_gmt`, `last_attempt_local`) VALUES ('6', '', '', '2023-12-30 00:00:00', '2023-12-30 00:00:00', '2023-12-30 00:00:00', '2023-12-30 00:00:00') made by do_action('wp_ajax_owp_ajax_required_plugins_activate'), WP_Hook->do_action, WP_Hook->apply_filters, OceanWP_Demos->ajax_required_plugins_activate, activate_plugin, plugin_sandbox_scrape, include_once('/plugins/wpforms-lite/wpforms.php'), wpforms, WPForms\WPForms::instance, WPForms\WPForms->includes, WPForms\WPForms->includes_magic, require_once('/plugins/wpforms-lite/vendor/woocommerce/action-scheduler/action-scheduler.php'), action_scheduler_initialize_3_dot_4_dot_0, ActionScheduler::init, ActionScheduler_HybridStore->init, ActionScheduler_DBStore->init, ActionScheduler_Abstract_Schema->register_tables, ActionScheduler_Abstract_Schema->update_table, do_action('action_scheduler/created_table'), WP_Hook->do_action, WP_Hook->apply_filters, ActionScheduler_HybridStore->set_autoincrement
[29-Dec-2023 15:17:44 UTC] PHP Warning:  Failed loading Zend extension 'php_opcache.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_opcache.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_opcache.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:44 UTC] PHP Warning:  Failed loading Zend extension 'php_xdebug.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_xdebug.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_xdebug.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:44 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_curl.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_curl.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_curl.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:44 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_gettext.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_gettext.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_gettext.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:44 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_openssl.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_openssl.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_openssl.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:44 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_exif.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_exif.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_exif.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:44 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_gd.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_gd.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_gd.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:44 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_ftp.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_ftp.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_ftp.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:44 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_ffi.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_ffi.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_ffi.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:44 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_imap.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_imap.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_imap.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:44 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_bz2.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_bz2.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_bz2.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:44 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_mbstring.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_mbstring.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_mbstring.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:44 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_sodium.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_sodium.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_sodium.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:44 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_tidy.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_tidy.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_tidy.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:44 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_xsl.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_xsl.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_xsl.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:44 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_soap.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_soap.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_soap.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:44 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_mysqli.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_mysqli.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_mysqli.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:45 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_pdo_mysql.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_pdo_mysql.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_pdo_mysql.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:45 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_fileinfo.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_fileinfo.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_fileinfo.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:45 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_pdo_sqlite.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_pdo_sqlite.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_pdo_sqlite.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:45 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_sqlite3.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_sqlite3.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_sqlite3.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:45 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_zip.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_zip.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_zip.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:45 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_intl.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_intl.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_intl.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:45 UTC] PHP Warning:  Failed loading Zend extension 'php_opcache.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_opcache.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_opcache.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:45 UTC] PHP Warning:  Failed loading Zend extension 'php_xdebug.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_xdebug.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_xdebug.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:45 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_curl.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_curl.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_curl.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:45 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_gettext.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_gettext.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_gettext.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:45 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_openssl.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_openssl.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_openssl.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:45 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_exif.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_exif.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_exif.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
[29-Dec-2023 15:17:45 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_gd.dll' (tried: C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_gd.dll (Le module spécifié est introuvable.), C:/Users/romai/AppData/Roaming/Local/lightning-services/php-8.3.0+1/bin/win64/ext\php_php_gd.dll.dll (Le module spécifié est introuvable.)) in Unknown on line 0
